Week,Date,Topic,Assessment
1,01/20,Introduction,-
-,-,"Software Projects and Process Models",-
2,01/27,"Team Formation and Planning",-
-,-,-,-
3,02/03,"Understanding Requirements",-
-,-,"Requirements Modeling: A Recommended Approach",-
4,02/10,"Code Forges and Version Control",-
-,-,"Code Review",-
5,02/17,"Architecture Design: A Recommended Approach",-
-,-,"Component-Level Design",-
6,02/24,"User Experience Design",-
-,-,"Pattern-Based Design",-
7,03/03,"Quality Concepts",-
-,-,"Reviews",-
8,03/10,SPRING BREAK,-
-,-,SPRING BREAK,-
9,03/17,"Midterm presentation",-
-,-,"Midterm presentation",-
10,03/24,"Midterm presentation",-
-,-,"Software Quality Assurance",-
11,03/31,"Software Testing",-
-,-,"Oman's Software Maintainability Index",-
12,04/07,"Build Systems",-
-,-,"Dependency Management",-
13,04/14,"Delivery",-
-,-,"Licenses and Legal Consideration",-
14,04/21,"Professionalism",-
-,-,"Team presentation",-
15,04/28,"Team presentation",-
-,-,"team presentation",-
16,05/05,"Conclusion",-
