Week,Date,Topic,Assessment
1,08/26,Introduction,-
-,-,Introduction to Rancher Desktop,Lab 01
2,09/02,Pods and Deployment,Quiz 01
-,-,Rancher and CloudLab,-
3,09/09,Project Week,Quiz 02
-,-,-,-
4,09/16,Cluster IP and NodePort,Quiz 03
-,-,Multi-Service Communication, Assignment 01 due
5,09/23,Volume and Persistence,Quiz 04
-,-,-,Lab 02
6,09/30,Configuration and Secrets,Quiz 05
-,-,-,-
7,10/07,Project Day,-
-,-,Midterm Review,Quiz 06
8,10/14,FALL BREAK,-
-,-,Midterm Exam,-
9,10/21,Resource Management and Namespaces,-
-,-,-,-
10,10/28,Ingress and Load Balancing,Quiz 07
-,-,Health and Resilience,Assignment 02 due
11,11/04,Scaling and Autoscaling,Quiz 08
-,-,-,-
12,11/11,Security and Policies,Quiz 08
-,-,-,-
13,11/18,Security and Policies,Assignment 03 due
-,-,-,-
14,11/25,-,-
-,-,THANKSGIVING BREAK,-
-,-,-,-
15,12/02,Final presentation,Quiz 09
-,-,-,-
16,12/09,Final presentation,Quiz 10
